Product Name,Original Price,Final Price,Discount,Ratings,Total Reviews,Company
Lenovo IdeaPad Slim 5 Co-Pilot PC Snapdragon X Plus - (16 GB/1 TB SSD/Windows 11 Home) 14Q8X9 Thin and...,"1,25,890","64,990",48% off,4.2,63 Ratings & 13 Reviews,Lenovo
Acer Aspire 3 Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light...,"63,000","43,990",30% off,4.3,485 Ratings & 30 Reviews,Acer
Lenovo LOQ Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,"1,72,090","1,09,990",36% off,4.9,9 Ratings & 0 Reviews,Lenovo
SAMSUNG Galaxy Book4 Pro Evo AI PC Intel Core Ultra 7 155H - (16 GB/512 GB SSD/Windows 11 Home) NP940X...,"1,60,989","1,39,990",13% off,4.6,51 Ratings & 5 Reviews,SAMSUNG
SAMSUNG Galaxy Book4 Intel Core 5 120U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGK-KG2IN / NP750XGK-...,"91,989","69,999",23% off,4.3,125 Ratings & 11 Reviews,SAMSUNG
Acer Chromebook Plus Google AI Intel Core i3 13th Gen 1315U - (8 GB/256 GB SSD/Chrome OS) CB515-2H-34Y...,"52,999","22,990",56% off,3.8,174 Ratings & 18 Reviews,Acer
Lenovo IdeaPad 1 Intel Celeron Dual Core N4020 - (8 GB/512 GB SSD/Windows 11 Home) 14IGL7/ 15IGL7 Thin...,"42,290","24,790",41% off,3.9,332 Ratings & 24 Reviews,Lenovo
Lenovo Legion 5 Intel Core i7 13th Gen 13650HX - (24 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDI...,"1,74,890","1,09,990",37% off,4.6,160 Ratings & 18 Reviews,Lenovo
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"33,999","17,990",47% off,3.9,397 Ratings & 60 Reviews,Acer
SAMSUNG Galaxy Book4 360 Evo Intel Core 5 120U - (16 GB/512 GB SSD/Windows 11 Home) NP750QGK-KG1IN / N...,"1,32,239","1,14,990",13% off,4.4,42 Ratings & 3 Reviews,SAMSUNG
DELL Inspiron 5640 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5640 Lap...,"75,844","63,990",15% off,,,DELL
Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Ligh...,"43,999","28,990",34% off,4.2,"12,916 Ratings & 955 Reviews",Acer
ASUS Vivobook S 15 Intel Core i9 13th Gen 13900H - (16 GB/512 GB SSD/Windows 11 Home) K5504VAB-BN417WS...,"1,10,990","83,990",24% off,4.5,81 Ratings & 8 Reviews,ASUS
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ341WS Thi...,"54,990","36,990",32% off,4.3,"12,142 Ratings & 950 Reviews",ASUS
Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) A325-42 Thin and Light L...,"44,990","27,990",37% off,4.1,359 Ratings & 57 Reviews,Acer
HP AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15-fc0156AU Thin and Light Laptop,"56,831","43,990",22% off,4.0,24 Ratings & 4 Reviews,HP
Lenovo Chromebook MediaTek Kompanio 520 - (8 GB/128 GB EMMC Storage/Chrome OS) 14M868 Thin and Light L...,"32,790","23,650",27% off,3.8,"1,442 Ratings & 124 Reviews",Lenovo
Acer Aspire Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and Light...,"56,990","47,800",16% off,4.2,351 Ratings & 37 Reviews,Acer
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ323WS Thin...,"57,990","36,990",36% off,4.3,23 Ratings & 3 Reviews,ASUS
Acer Aspire Lite Multicolor Backlit AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) A...,"60,496","34,590",42% off,4.0,873 Ratings & 76 Reviews,Acer
