Product Name,Original Price,Final Price,Discount,Ratings,Total Reviews,Company,Total Ratings,Total Reviews Extracted
Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,59990.0,34990.0,41,4.0,873 Ratings & 76 Reviews,Acer,873,76
Primebook 4G Android Based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Lapt...,24990.0,12990.0,48,4.2,"3,004 Ratings & 889 Reviews",Primebook,3004,889
Acer Nitro V AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,85999.0,57990.0,32,4.4,471 Ratings & 47 Reviews,Acer,471,47
SAMSUNG Galaxy Book4 Metal Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,89689.0,69490.0,22,4.4,"1,837 Ratings & 121 Reviews",SAMSUNG,1837,121
HP Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fy5004TU Thin and Light Lapto...,52721.0,36390.0,30,4.2,"7,083 Ratings & 416 Reviews",HP,7083,416
ASUS X1504ZA Intel Core i3 12th Gen 12th Gen Intel Core i3-1215U - (8 GB/512 GB SSD/Windows 11 Home) X...,54990.0,32599.0,40,4.3,775 Ratings & 82 Reviews,ASUS,775,82
Acer Aspire 3 Backlit AMD Ryzen 5 Hexa Core 7430U - (8 GB/512 GB SSD/Windows 11 Home) A325-42 Thin and...,54990.0,36990.0,32,4.1,"1,457 Ratings & 189 Reviews",Acer,1457,189
Lenovo V14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) V 14 Thin and Light Lapto...,47990.0,37490.0,21,4.1,741 Ratings & 54 Reviews,Lenovo,741,54
HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light La...,51266.0,30990.0,39,4.2,"7,083 Ratings & 416 Reviews",HP,7083,416
"HP 255 G10 AMD Ryzen 3 Octa Core 13th Gen AMD Ryzen™ 3 7320U (up to 4.1 GHz, 4 cores, 8 threads) - (8 ...",41999.0,26990.0,35,4.0,33 Ratings & 4 Reviews,HP,33,4
ASUS Vivobook Go 15 OLED AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK521...,74990.0,44990.0,40,4.4,"2,476 Ratings & 199 Reviews",ASUS,2476,199
Lenovo V 14 (2025) Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) V 14 Thin and Lig...,92990.0,41490.0,55,4.6,25 Ratings & 3 Reviews,Lenovo,25,3
ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK321...,61990.0,36990.0,40,4.4,"3,472 Ratings & 374 Reviews",ASUS,3472,374
Lenovo IdeaPad Slim 3 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15AMN8 Thin and...,72190.0,43990.0,39,4.0,401 Ratings & 23 Reviews,Lenovo,401,23
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,105090.0,72990.0,30,4.3,547 Ratings & 42 Reviews,Lenovo,547,42
Lenovo IdeaPad Slim 5 Intel Core i5 12th Gen 12450H - (16 GB/1 TB SSD/Windows 11 Home) 14IAH8 Thin and...,78590.0,62190.0,20,4.2,370 Ratings & 30 Reviews,Lenovo,370,30
ASUS Vivobook 14 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) X1404VA-NK322WS Thin...,57990.0,36990.0,36,3.9,494 Ratings & 34 Reviews,ASUS,494,34
HP Laptop Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) 15s-fy5010TU Thin and Light...,46709.0,31990.0,31,4.2,"7,083 Ratings & 416 Reviews",HP,7083,416
ASUS Vivobook GO 15 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ549WS T...,58990.0,41612.0,29,4.2,73 Ratings & 4 Reviews,ASUS,73,4
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,120000.0,86490.0,27,4.5,847 Ratings & 63 Reviews,Lenovo,847,63
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ549WS Thi...,66990.0,46490.0,30,4.2,"7,481 Ratings & 419 Reviews",ASUS,7481,419
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ5541WS ...,55990.0,41990.0,25,4.2,"2,162 Ratings & 143 Reviews",ASUS,2162,143
Infinix Y3 Max Series Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and...,69990.0,29990.0,57,4.2,283 Ratings & 52 Reviews,Infinix,283,52
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,75990.0,58990.0,22,4.3,803 Ratings & 49 Reviews,ASUS,803,49
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ132WS Th...,50990.0,37990.0,25,0.0,nan,ASUS,0,0
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) A325-42 Thin an...,74999.0,41999.0,44,4.0,504 Ratings & 45 Reviews,Acer,504,45
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,84999.0,54990.0,35,4.3,"1,820 Ratings & 133 Reviews",Acer,1820,133
Ultimus Intel Celeron Dual Core N4020 - (4 GB/128 GB EMMC Storage/Windows 11 Home) NU14U3INC43BN-MB Th...,24990.0,11990.0,52,3.3,"2,122 Ratings & 301 Reviews",Ultimus,2122,301
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3520 Thin and Light Lap...,49126.0,33990.0,30,4.3,"4,551 Ratings & 326 Reviews",DELL,4551,326
Lenovo V15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) V15 G4 AMN 1 Thin and Light...,44567.0,26690.0,40,4.2,"1,916 Ratings & 170 Reviews",Lenovo,1916,170
